iter	Passed	Remaining
0	52	10429
1	101	10077
2	156	10272
3	207	10156
4	267	10418
5	320	10348
6	368	10149
7	416	10004
8	467	9918
9	560	10649
10	610	10488
11	672	10537
12	721	10384
13	774	10292
14	826	10195
15	876	10083
16	926	9977
17	978	9895
18	1034	9858
19	1101	9911
20	1150	9804
21	1201	9719
22	1251	9628
23	1299	9527
24	1367	9569
25	1419	9502
26	1473	9443
27	1531	9405
28	1599	9434
29	1657	9395
30	1721	9387
31	1780	9349
32	1835	9286
33	1891	9236
34	1950	9196
35	2013	9174
36	2075	9143
37	2139	9121
38	2215	9146
39	2289	9159
40	2360	9154
41	2426	9129
42	2494	9106
43	2562	9084
44	2641	9099
45	2718	9099
46	2796	9103
47	2867	9080
48	2942	9068
49	3006	9020
50	3082	9004
51	3160	8994
52	3245	9001
53	3311	8953
54	3386	8929
55	3465	8910
56	3544	8893
57	3636	8902
58	3733	8922
59	3816	8905
60	3898	8884
61	3983	8865
62	4064	8838
63	4143	8803
64	4230	8787
65	4321	8773
66	4407	8749
67	4490	8715
68	4583	8702
69	4676	8684
70	4761	8650
71	4831	8589
72	4918	8557
73	4991	8498
74	5061	8435
75	5127	8365
76	5201	8309
77	5272	8246
78	5334	8171
79	5399	8098
80	5464	8028
81	5531	7959
82	5600	7894
83	5664	7821
84	5741	7767
85	5813	7705
86	5883	7641
87	5945	7566
88	6017	7504
89	6084	7436
90	6146	7362
91	6224	7307
92	6296	7244
93	6368	7181
94	6433	7110
95	6509	7052
96	6584	6991
97	6655	6926
98	6734	6870
99	6806	6806
100	6879	6743
101	6950	6678
102	7016	6608
103	7079	6534
104	7149	6468
105	7210	6393
106	7287	6333
107	7359	6269
108	7431	6204
109	7499	6135
110	7571	6070
111	7648	6009
112	7727	5949
113	7800	5884
114	7871	5817
115	7944	5752
116	7981	5662
117	8056	5598
118	8125	5530
119	8195	5463
120	8269	5398
121	8304	5309
122	8373	5241
123	8443	5175
124	8517	5110
125	8582	5040
126	8657	4976
127	8726	4908
128	8793	4839
129	8863	4772
130	8935	4706
131	9011	4642
132	9084	4576
133	9169	4516
134	9252	4454
135	9331	4391
136	9402	4323
137	9473	4256
138	9534	4184
139	9603	4115
140	9676	4049
141	9751	3983
142	9822	3915
143	9897	3849
144	9975	3783
145	10051	3717
146	10124	3650
147	10202	3584
148	10282	3519
149	10357	3452
150	10431	3385
151	10509	3318
152	10582	3250
153	10630	3175
154	10709	3109
155	10789	3043
156	10862	2975
157	10935	2906
158	11012	2839
159	11087	2771
160	11153	2701
161	11234	2635
162	11307	2566
163	11385	2499
164	11454	2429
165	11531	2361
166	11606	2293
167	11676	2224
168	11760	2157
169	11835	2088
170	11904	2018
171	11988	1951
172	12065	1883
173	12145	1814
174	12219	1745
175	12304	1677
176	12389	1609
177	12473	1541
178	12563	1473
179	12649	1405
180	12733	1336
181	12811	1267
182	12891	1197
183	12971	1127
184	13054	1058
185	13132	988
186	13170	915
187	13246	845
188	13329	775
189	13424	706
190	13511	636
191	13600	566
192	13688	496
193	13796	426
194	13894	356
195	13999	285
196	14088	214
197	14178	143
198	14263	71
199	14341	0
